id_idioma,nivel,idioma,institucion,certificacion
26075,A1,Romansh,"Gomez, Davis and Williams",activity
54578,A1,Belarusian,"Sanchez, Howard and Hanson",political
24700,B3,German,Atkinson PLC,also
56027,C1,Haitian,Burton Group,energy
25703,A1,Oriya,Silva-Edwards,wonder
89385,A3,Twi,Hernandez and Sons,whom
54119,B1,Aymara,Miles-Hall,reason
45935,C1,Zulu,"Rodriguez, Rodgers and Rodriguez",material
67735,B3,Swedish,"Fuller, Anderson and Hodges",trade
75272,B3,Marathi,Figueroa-Lynch,rest
84113,B2,Italian,Davis-Hicks,language
15636,C3,Faroese,Diaz-Morgan,us
53985,C1,Samoan,"Jackson, Hernandez and Riddle",toward
66481,A3,Faroese,Cole-Thompson,national
84546,B2,Navajo,Wilson Group,it
91790,A1,Sango,Harris LLC,she
8206,A1,Sanskrit,Arnold and Sons,career
85812,C1,Lingala,"Valenzuela, Murray and Whitaker",join
68714,B3,Croatian,"Adams, Williams and Patel",especially
24389,C3,Kanuri,Lee Inc,wide
70566,A2,Persian,"Villanueva, Martinez and Casey",citizen
8248,C2,Turkish,"Jackson, Stewart and Carr",benefit
79174,A2,Oromo,"Little, Leonard and Gutierrez",skin
61250,B2,Breton,Davis PLC,stage
24387,B2,Sindhi,Ferguson-Lopez,how
12005,C3,South Ndebele,Yang-Randolph,official
87622,B1,Finnish,Young-Johnson,value
93872,C3,Kalaallisut,Lopez-Rodgers,he
35294,A3,Hebrew,"Lee, Reese and Sullivan",capital
20642,A1,Chuvash,Church Group,million
82078,B1,Sindhi,"Green, Miller and Arellano",bit
3800,C1,Esperanto,"Lee, Fowler and Smith",weight
59267,A3,Slovak,Burns-Burnett,change
44547,C3,Northern Sami,"Smith, Norris and Bryant",owner
13538,A3,Norwegian,Molina-Montgomery,to
24183,A1,Japanese,Glenn-Mccormick,when
31459,A2,Samoan,"Frederick, Taylor and Hill",while
84478,A3,Bengali,King-Lane,culture
865,A1,Welsh,Blackwell-Moreno,learn
12683,C3,Kalaallisut,"Mitchell, Long and Bailey",reason
55250,A1,Bambara,"White, David and Espinoza",someone
65732,C2,Bengali,Cunningham PLC,true
40484,C3,Guarani,Rice-Bryant,know
35120,C1,Kirghiz,Miller-Hill,seek
71775,C3,English,Peterson Inc,campaign
89454,A3,Breton,"Anderson, Morris and House",somebody
97939,B2,Avaric,Garcia Group,fear
57620,C2,Tigrinya,Rogers-Humphrey,thing
15915,B1,Galician,White LLC,expert
53568,C3,Bislama,Graves-Tapia,despite
39953,A2,Church Slavic,"Burgess, Schneider and Brown",street
52704,C2,Igbo,Mccoy-Burgess,style
5781,B2,Czech,Morrison-Mata,food
30383,A3,Fulah,Farley Ltd,exist
4199,B2,Irish,"Perry, Cross and Stone",reason
240,C1,Western Frisian,Todd-Lewis,receive
79403,B3,Turkmen,"Wheeler, Fuller and Jimenez",structure
81640,C3,Kazakh,Robertson Group,tax
17816,A2,Kanuri,Ferguson-Johnston,box
56705,B2,Ojibwa,"Hawkins, Trevino and Duncan",heart
43457,B1,Amharic,Wise-Riddle,wonder
73743,C1,Nauru,"Molina, Mann and Lewis",number
76193,C1,Quechua,Rodriguez-Silva,environmental
14489,B3,English,Brown-Lopez,event
99341,B1,Fijian,"Mathews, Krause and Stout",matter
55658,C1,Finnish,Allen-Crane,example
23044,B3,Sichuan Yi,Hunter Ltd,live
48192,B1,Serbian,Gomez-Rosario,special
28199,A3,Persian,Patel and Sons,focus
78081,A1,Yoruba,Harvey-Jones,coach
18699,A2,Albanian,"Hanna, Alvarez and Graham",long
28056,C1,Mongolian,"Wolf, Reyes and Lee",his
83171,C2,Divehi,Blankenship-Delgado,include
30586,B3,Armenian,Robinson Group,control
35298,B3,Vietnamese,Decker-Hunt,hundred
20929,B2,Portuguese,"Boone, Ray and Mcbride",imagine
70512,B3,North Ndebele,Kelly-Hernandez,glass
21055,A3,Hausa,Marquez-Bishop,simple
75795,B1,Amharic,Pena-Harvey,bring
91756,A1,Persian,Butler-Park,mention
6751,A1,Kannada,"Morgan, Pugh and Anderson",stage
82979,B3,Chinese,"Lane, Sparks and Nash",word
17347,B3,Ewe,Johnson-Perry,my
84253,A1,Zhuang,Ortiz-Green,paper
85758,A1,Tagalog,Jones Inc,break
4606,A1,Malagasy,Contreras Inc,become
78002,B2,Ewe,Stevens Group,push
92221,A3,Tahitian,"Fischer, Morgan and Hicks",floor
90278,C1,Tonga,"Wagner, Scott and Williams",account
96100,C3,Lithuanian,Kelly LLC,capital
24264,B2,Finnish,Mooney LLC,work
12568,A3,Kalaallisut,Nunez-Webb,throw
57919,A2,Uzbek,"Fleming, Morales and Bennett",enough
38887,B3,Bislama,"Austin, Wilson and Leonard",probably
5502,B3,Venda,Thompson-Cummings,research
97798,B2,Serbian,Marshall LLC,nice
19544,B3,Tibetan,Jones PLC,knowledge
81103,B3,Chichewa,Harris PLC,air
31500,C3,Haitian,Cruz and Sons,sign
3254,C1,Bengali,"Campos, Shepherd and Smith",anything
93629,C2,Luxembourgish,Newton Inc,glass
6898,A1,Navajo,"Hood, Mitchell and Ayala",manage
40035,A2,Herero,Singleton and Sons,young
98689,C3,Georgian,"Roberson, Cole and Smith",bank
5158,B2,Church Slavic,"Reid, Fisher and Mendoza",financial
70235,B3,Armenian,"Rivera, Kim and Estrada",great
88260,B2,Azerbaijani,Lopez LLC,nice
84295,B2,Tahitian,Young-King,month
52472,C2,Bambara,Park-Smith,against
34843,C1,Kazakh,Blackburn-Baldwin,drive
16630,B2,Lao,Lowe Ltd,garden
50030,A1,Oromo,"Garner, Garcia and Smith",professional
81354,C1,Japanese,"Reyes, Best and Wilson",already
62613,C2,Turkmen,Kim-Kemp,third
78450,C3,German,Casey-Booth,every
1608,B2,Wolof,Rodriguez Group,stuff
704,C1,Belarusian,Miller PLC,risk
42464,B2,Western Frisian,Romero LLC,experience
59545,C3,Ndonga,"Brown, Nichols and Hansen",whatever
82717,A3,Romanian,Morgan-Brooks,memory
90503,C1,Tahitian,"Olsen, Harris and Harris",decide
84472,A2,Chichewa,Owens LLC,attention
16154,C2,Urdu,"Mccarthy, Richardson and Fowler",visit
72061,C1,Kannada,"Murray, Williams and Silva",agreement
43107,A1,Malagasy,Sanchez Ltd,tax
57515,A3,Welsh,Herrera Ltd,rock
8825,A1,Wolof,Zamora-Gonzalez,knowledge
48166,C3,Slovenian,Smith-Ramsey,challenge
47146,A1,Panjabi,"Boone, Clark and Escobar",appear
24949,A3,Armenian,"Cardenas, Randall and Hoover",glass
7276,C2,Panjabi,"Robinson, Kelly and Griffin",beyond
84220,A1,Guarani,"Simmons, Wheeler and Caldwell",it
84148,C1,Arabic,Huerta PLC,despite
35886,C3,Limburgan,"Patel, Davis and Kemp",against
34647,A2,Pali,Gallagher Ltd,though
23481,A3,Thai,Mccarthy Group,budget
97146,C3,Romanian,Gill-Taylor,life
33164,B3,Chichewa,Smith Group,short
24934,C3,Limburgan,"Beck, Nguyen and Davenport",candidate
99240,C3,Oriya,Martinez Ltd,service
7794,B1,Icelandic,"Hess, Reyes and Wallace",agency
59427,A1,Hausa,Quinn PLC,address
76191,C2,Aragonese,"Peterson, Kelly and Skinner",answer
57201,C1,Church Slavic,"Jensen, Lopez and Pope",want
13498,C3,Burmese,"Andrews, Cunningham and Daniels",who
35513,B1,Kurdish,"Ali, Gutierrez and Patel",this
19495,A2,Romansh,Brown-Miller,mother
74637,B1,Sindhi,Jackson-Torres,order
76121,B2,Cornish,"Smith, Garza and Murphy",television
96107,C2,Albanian,Robinson-Petersen,common
47653,A2,Catalan,Webb-Johnson,risk
79508,C3,Pushto,"Cox, Dixon and Parker",machine
13349,B3,Inuktitut,Hoffman-Mcintyre,medical
68873,A2,Ewe,Peters PLC,policy
79071,B2,Gujarati,"Gray, Nelson and Vasquez",weight
58227,A3,Chamorro,Webb Group,drive
74803,B3,Luba-Katanga,Snyder-Harris,whether
68621,A2,Korean,Taylor Inc,thus
40485,B2,Georgian,Alvarez-Fischer,draw
25140,B3,Portuguese,Anderson Ltd,mention
59137,B2,Quechua,Gardner and Sons,Mr
13314,C2,Ndonga,"Mccarthy, Jackson and Perez",enjoy
78400,B3,Sindhi,Miller Group,through
13669,B1,Kanuri,Day-Diaz,hundred
36525,C3,Italian,Roberts LLC,fact
94031,C1,Dzongkha,Williams Group,think
35973,A2,Assamese,Hoffman-Smith,life
50430,C3,Javanese,Cordova-Austin,within
74704,A1,Breton,"Glenn, King and Kane",study
73250,B2,Lao,Clark Group,Congress
12094,C1,Northern Sami,"Rios, Edwards and Henderson",executive
46233,B3,French,Watson Group,hospital
74454,B3,Norwegian,Ross-Morrow,former
69041,A1,Lingala,Prince LLC,industry
72126,C2,Swahili,Bates-Edwards,among
93860,B2,Finnish,"Curry, Fowler and Mayo",answer
8190,B3,Komi,Harris-Crawford,name
48344,C1,Romanian,"Yates, Green and Lane",bag
8557,C2,Shona,Smith-Thomas,item
55570,B2,Nepali,Lee LLC,staff
35646,C2,Irish,Moore Inc,offer
89222,B3,Portuguese,Kelly-Miller,past
95950,A1,Swedish,"Johnson, Buchanan and Townsend",color
71826,A3,Amharic,Mckinney Inc,officer
19010,C1,Greek,Russell PLC,still
99393,C2,Interlingua,Chen PLC,both
77765,A1,Galician,Martinez PLC,star
70119,A3,Malayalam,Robinson-Robinson,administration
8953,A3,Kalaallisut,Farrell PLC,section
34091,B3,Georgian,Miller Inc,miss
55516,A3,Kashmiri,Smith-Chavez,skin
1596,B3,Chechen,"Whitney, Paul and Ramos",head
64409,C1,Ido,Wilkerson and Sons,stay
31789,C3,Zulu,Cooper-Reed,change
41071,C2,Mongolian,"Murray, Massey and Weaver",officer
39168,A3,Galician,"Simpson, Owen and Hanna",marriage
66310,A1,Turkish,"Gray, Carter and Berg",if
78149,B1,Mongolian,Simmons Group,only
1310,B2,Aymara,"Morgan, Baker and Gonzalez",together
36294,C3,Basque,Butler Group,stuff
